NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CSceneManager.cpp ,,,, LINE -> 30
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 56
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CObjectManager.cpp ,,,, LINE -> 48
NAME -> C:\Users\user\source\InvaderProject\Invader\Invader\CList.h ,,,, LINE -> 96
